,Data_Value,Gender
0,105.3,Overall
1,211.9,Overall
2,257.9,Overall
3,351.6,Overall
4,0.0,Overall
5,305.5,Overall
6,411.6,Overall
7,305.7,Overall
8,295.7,Overall
9,295.7,Overall
10,299.4,Overall
11,326.8,Overall
12,274.8,Overall
13,387.0,Overall
14,244.7,Overall
15,378.8,Overall
16,327.4,Overall
17,338.3,Overall
18,0.0,Overall
19,261.9,Overall
20,0.0,Overall
21,290.0,Overall
22,267.9,Overall
23,377.4,Overall
24,0.0,Overall
25,0.0,Overall
26,297.8,Overall
27,0.0,Male
28,347.9,Male
29,332.1,Male
30,489.8,Male
31,0.0,Male
32,401.2,Male
33,569.0,Male
34,401.2,Male
35,408.1,Male
36,368.0,Male
37,367.1,Male
38,496.9,Male
39,396.0,Male
40,526.8,Male
41,306.3,Male
42,503.6,Male
43,452.7,Male
44,453.6,Male
45,0.0,Male
46,312.0,Male
47,0.0,Male
48,345.1,Male
49,332.2,Male
50,507.9,Male
51,0.0,Male
52,0.0,Male
53,387.9,Male
54,0.0,Female
55,0.0,Female
56,196.5,Female
57,218.9,Female
58,0.0,Female
59,212.9,Female
60,260.4,Female
61,212.2,Female
62,228.2,Female
63,228.2,Female
64,213.9,Female
65,164.3,Female
66,174.5,Female
67,226.9,Female
68,199.4,Female
69,279.0,Female
70,227.7,Female
71,242.5,Female
72,0.0,Female
73,213.3,Female
74,181.2,Female
75,199.8,Female
76,202.0,Female
77,255.8,Female
78,0.0,Female
79,0.0,Female
80,208.6,Female
81,0.0,Overall
82,0.0,Overall
83,253.4,Overall
84,293.2,Overall
85,0.0,Overall
86,309.2,Overall
87,0.0,Overall
88,309.2,Overall
89,259.5,Overall
90,259.5,Overall
91,289.9,Overall
92,354.4,Overall
93,288.5,Overall
94,327.0,Overall
95,253.5,Overall
96,0.0,Overall
97,126.0,Overall
98,0.0,Overall
99,0.0,Overall
100,241.8,Overall
101,0.0,Overall
102,298.9,Overall
103,254.2,Overall
104,0.0,Overall
105,0.0,Overall
106,0.0,Overall
107,272.0,Overall
108,0.0,Male
109,0.0,Male
110,317.5,Male
111,0.0,Male
112,0.0,Male
113,400.7,Male
114,0.0,Male
115,401.0,Male
116,385.5,Male
117,281.6,Male
118,353.8,Male
119,550.9,Male
120,414.2,Male
121,529.3,Male
122,308.0,Male
123,0.0,Male
124,61.5,Male
125,0.0,Male
126,0.0,Male
127,319.9,Male
128,0.0,Male
129,349.0,Male
130,317.7,Male
131,0.0,Male
132,0.0,Male
133,0.0,Male
134,367.3,Male
135,0.0,Female
136,0.0,Female
137,197.6,Female
138,209.1,Female
139,0.0,Female
140,214.8,Female
141,0.0,Female
142,214.9,Female
143,223.6,Female
144,223.6,Female
145,207.0,Female
146,161.2,Female
147,192.8,Female
148,215.8,Female
149,198.9,Female
150,0.0,Female
151,0.0,Female
152,0.0,Female
153,0.0,Female
154,183.2,Female
155,0.0,Female
156,204.5,Female
157,202.5,Female
158,0.0,Female
159,0.0,Female
160,0.0,Female
161,203.1,Female
162,0.0,Overall
163,0.0,Overall
164,220.4,Overall
165,0.0,Overall
166,0.0,Overall
167,0.0,Overall
168,0.0,Overall
169,414.6,Overall
170,0.0,Overall
171,0.0,Overall
172,216.6,Overall
173,0.0,Overall
174,0.0,Overall
175,0.0,Overall
176,216.5,Overall
177,0.0,Overall
178,0.0,Overall
179,0.0,Overall
180,0.0,Overall
181,0.0,Overall
182,0.0,Overall
183,0.0,Overall
184,0.0,Overall
185,0.0,Overall
186,0.0,Overall
187,0.0,Overall
188,0.0,Overall
189,0.0,Male
190,0.0,Male
191,301.6,Male
192,0.0,Male
193,0.0,Male
194,0.0,Male
195,0.0,Male
196,0.0,Male
197,0.0,Male
198,0.0,Male
199,295.3,Male
200,0.0,Male
201,0.0,Male
202,0.0,Male
203,295.5,Male
204,0.0,Male
205,419.4,Overall
206,0.0,Male
207,0.0,Male
208,0.0,Male
209,0.0,Male
210,0.0,Male
211,0.0,Male
212,299.1,Male
213,0.0,Male
214,0.0,Male
215,0.0,Male
216,0.0,Male
217,0.0,Female
218,0.0,Female
219,149.2,Female
220,0.0,Female
221,0.0,Female
222,0.0,Female
223,0.0,Female
224,0.0,Female
225,0.0,Female
226,0.0,Female
227,0.0,Female
228,0.0,Female
229,0.0,Female
230,0.0,Female
231,0.0,Female
232,0.0,Female
233,0.0,Female
234,0.0,Female
235,0.0,Female
236,0.0,Female
