STATE,Percentage,Margin of error
AL,17,1.5
AK,10.5,1.2
AZ,19.2,1.3
AR,17.2,1.5
CA,14.9,0.7
CO,11.1,1.6
CT,8.8,1.5
DE,11.1,1.3
FL,16.4,1
GA,17.5,1.2
HI,10.9,1.6
ID,12.4,1.6
IL,12.3,1
IN,14.1,1.5
IA,10.3,1.3
KS,13.1,1.6
KY,19.8,1.8
LA,20.8,1.4
ME,13.5,1.9
MD,9.7,1.4
MA,12.5,1.2
MI,13.8,1.1
MN,8,1.3
MS,20.6,1.4
MO,10.1,1.3
MT,12,1.7
NE,11.1,1.4
NV,14.9,1.8
NH,7.2,1.2
NJ,11.3,1.3
NM,19.8,1.8
NY,14.1,0.9
NC,16.2,1.3
ND,10.2,1.5
OH,14.6,1.2
OK,15.7,1.6
OR,13.1,1.7
PA,12.4,1
RI,11.6,1.7
SC,15.4,1.4
SD,13.3,2
TN,16,1.3
TX,15.5,0.8
UT,9.7,1.5
VT,10,1.4
VA,10.5,1.2
WA,11.7,1.2
WV,17.6,2.9
WI,11.2,1.3
WY,9.7,1.6
