,City,Cloudliness,Country,Date,Humidity,Lat,Lng,Max. Temp,Wind Speed
0,yola,0,NG,1544347343.342526,39,9.26,12.45,84.47,3.49
1,bosobolo,24,CD,1544347343.562222,88,4.19,19.88,81.63,6.62
2,port-gentil,20,GA,1544347343.790797,74,-0.72,8.78,86.0,4.7
3,owando,88,CG,1544347344.010944,95,-0.49,15.91,73.71,3.04
5,kouango,12,CF,1544347344.342819,80,4.99,19.98,84.06,7.74
6,lagos,20,NG,1544347344.547646,83,6.46,3.39,82.4,6.93
7,anloga,20,GH,1544347344.764707,94,5.79,0.9,78.8,10.29
8,limbe,75,MW,1544347344.981011,83,-15.81,35.05,73.4,11.41
9,cotonou,20,BJ,1544347345.195777,94,6.37,2.43,77.0,6.93
10,mongoumba,48,CD,1544347345.4189272,75,3.64,18.59,82.67,2.86
11,ikorodu,20,NG,1544347345.6267111,83,6.62,3.5,82.4,6.93
12,yenagoa,20,NG,1544347345.841366,83,4.92,6.26,84.69,4.5
13,mitzic,68,GA,1544347346.048942,92,0.78,11.55,75.69,2.98
14,lagos,20,NG,1544347346.2171898,83,6.46,3.39,82.4,6.93
15,eruwa,0,NG,1544347346.4333508,61,7.53,3.42,84.11,3.27
16,teshie,8,GH,1544347346.643584,83,5.58,-0.11,82.4,8.05
17,bertoua,0,CM,1544347346.850515,93,4.58,13.68,77.76,5.55
18,lagos,20,NG,1544347346.96382,83,6.46,3.39,82.4,6.93
19,poli,0,CM,1544347347.1955998,43,8.48,13.24,82.04,4.09
20,edea,75,CM,1544347347.408767,88,3.8,10.13,82.4,4.7
23,banyo,36,CM,1544347347.86059,31,6.75,11.81,81.32,4.83
24,mumford,0,GH,1544347348.079781,89,5.26,-0.76,84.51,4.21
25,yenagoa,20,NG,1544347348.198817,83,4.92,6.26,84.69,4.5
26,libreville,20,GA,1544347348.31693,78,0.39,9.45,82.4,3.36
27,makokou,76,GA,1544347348.532464,93,0.56,12.85,75.29,2.86
28,limbe,75,MW,1544347348.755714,83,-15.81,35.05,73.4,11.41
29,dibombari,75,CM,1544347348.963883,88,4.18,9.66,82.4,4.7
30,ketou,0,BJ,1544347349.1834948,71,7.36,2.6,84.92,4.61
31,ngaoundere,0,CM,1544347349.400345,42,7.32,13.58,77.54,6.73
32,mongomo,75,GA,1544347349.6131358,83,1.63,11.31,77.0,2.75
33,anloga,20,GH,1544347349.8635972,94,5.79,0.9,78.8,10.29
34,bembereke,0,BJ,1544347350.074883,39,10.23,2.66,79.88,7.78
35,eruwa,0,NG,1544347350.190355,61,7.53,3.42,84.11,3.27
36,garoua,0,CM,1544347350.401713,28,9.31,13.39,80.6,2.24
38,abong mbang,24,CM,1544347350.752864,82,3.98,13.18,77.27,2.98
40,yenagoa,20,NG,1544347350.977553,83,4.92,6.26,84.69,4.5
41,kabo,0,CF,1544347351.2210171,34,7.69,18.62,87.71,5.28
42,abonnema,75,NG,1544347351.4469671,88,4.71,6.79,78.8,4.5
43,luba,0,PH,1544347351.674648,58,17.32,120.7,82.67,5.32
44,jalingo,44,NG,1544347351.9284108,30,10.3,10.93,78.03,9.53
45,lagos,20,NG,1544347352.043208,83,6.46,3.39,82.4,6.93
46,libenge,48,CD,1544347352.265635,75,3.65,18.64,82.67,2.86
47,port-gentil,20,GA,1544347352.378308,74,-0.72,8.78,86.0,4.7
48,epe,75,DE,1544347352.624732,87,52.18,7.04,44.6,16.11
49,ilorin,0,NG,1544347352.93024,49,8.5,4.55,84.38,4.05
51,warri,0,NG,1544347353.2724092,88,5.52,5.75,85.55,4.61
52,bongor,0,TD,1544347353.852842,37,10.28,15.37,79.07,7.85
53,batangafo,12,CF,1544347354.061569,34,7.3,18.29,85.37,7.23
55,port-gentil,20,GA,1544347354.288942,74,-0.72,8.78,86.0,4.7
56,makurdi,32,NG,1544347354.4315479,52,7.73,8.54,85.59,6.85
57,makokou,76,GA,1544347354.5441458,93,0.56,12.85,75.29,2.86
58,boende,20,CD,1544347354.750248,77,-0.28,20.88,82.58,3.09
59,effium,8,NG,1544347354.96528,65,6.63,8.06,77.0,5.82
60,abonnema,75,NG,1544347355.078141,88,4.71,6.79,78.8,4.5
61,ankpa,0,NG,1544347355.295229,69,7.37,7.63,85.14,4.05
62,ogbomosho,0,NG,1544347355.502424,53,8.13,4.25,83.84,3.2
63,batangafo,12,CF,1544347355.619179,34,7.3,18.29,85.37,7.23
64,kyabe,0,TD,1544347356.104309,27,9.45,18.94,86.63,10.09
65,kande,90,UG,1544347356.323112,88,0.3,32.05,68.0,9.17
66,minna,0,NG,1544347356.530766,36,9.62,6.55,84.92,11.92
67,nkoteng,0,CM,1544347356.734577,77,4.5,12.12,78.93,3.6
68,cocobeach,20,GA,1544347356.946261,78,1.01,9.58,82.4,3.36
69,kribi,88,CM,1544347357.153962,91,2.94,9.91,80.64,3.87
70,mumford,0,GH,1544347357.268296,89,5.26,-0.76,84.51,4.21
71,wum,8,CM,1544347357.505149,26,6.39,10.08,84.02,3.53
72,owando,88,CG,1544347357.6170828,95,-0.49,15.91,73.71,3.04
73,sotouboua,0,TG,1544347357.823926,43,8.56,0.98,83.03,5.55
74,anloga,20,GH,1544347357.938247,94,5.79,0.9,78.8,10.29
75,lagos,20,NG,1544347358.0543308,83,6.46,3.39,82.4,6.93
77,kabo,0,CF,1544347358.288585,34,7.69,18.62,87.71,5.28
78,bossangoa,0,CF,1544347358.504541,34,6.5,17.45,85.91,10.09
79,mitzic,68,GA,1544347358.614399,92,0.78,11.55,75.69,2.98
80,port-gentil,20,GA,1544347358.728618,74,-0.72,8.78,86.0,4.7
81,bozoum,36,CF,1544347358.94517,33,6.31,16.38,78.71,10.76
82,meiganga,0,CM,1544347359.155791,46,6.52,14.29,77.76,3.53
